actual_deaths,date,county_state,deaths_predicted_county,deaths_predicted_shared,deaths_predicted_ensemble,date_of_10_deaths,days_since_10_deaths
0,2020-01-22,"Queens County, NY",NA,NA,NA,2020-03-22,-60
0,2020-01-23,"Queens County, NY",NA,NA,NA,2020-03-22,-59
0,2020-01-24,"Queens County, NY",NA,NA,NA,2020-03-22,-58
0,2020-01-25,"Queens County, NY",NA,NA,NA,2020-03-22,-57
0,2020-01-26,"Queens County, NY",NA,NA,NA,2020-03-22,-56
0,2020-01-27,"Queens County, NY",NA,NA,NA,2020-03-22,-55
0,2020-01-28,"Queens County, NY",NA,NA,NA,2020-03-22,-54
0,2020-01-29,"Queens County, NY",NA,NA,NA,2020-03-22,-53
0,2020-01-30,"Queens County, NY",NA,NA,NA,2020-03-22,-52
0,2020-01-31,"Queens County, NY",NA,NA,NA,2020-03-22,-51
0,2020-02-01,"Queens County, NY",NA,NA,NA,2020-03-22,-50
0,2020-02-02,"Queens County, NY",NA,NA,NA,2020-03-22,-49
0,2020-02-03,"Queens County, NY",NA,NA,NA,2020-03-22,-48
0,2020-02-04,"Queens County, NY",NA,NA,NA,2020-03-22,-47
0,2020-02-05,"Queens County, NY",NA,NA,NA,2020-03-22,-46
0,2020-02-06,"Queens County, NY",NA,NA,NA,2020-03-22,-45
0,2020-02-07,"Queens County, NY",NA,NA,NA,2020-03-22,-44
0,2020-02-08,"Queens County, NY",NA,NA,NA,2020-03-22,-43
0,2020-02-09,"Queens County, NY",NA,NA,NA,2020-03-22,-42
0,2020-02-10,"Queens County, NY",NA,NA,NA,2020-03-22,-41
0,2020-02-11,"Queens County, NY",NA,NA,NA,2020-03-22,-40
0,2020-02-12,"Queens County, NY",NA,NA,NA,2020-03-22,-39
0,2020-02-13,"Queens County, NY",NA,NA,NA,2020-03-22,-38
0,2020-02-14,"Queens County, NY",NA,NA,NA,2020-03-22,-37
0,2020-02-15,"Queens County, NY",NA,NA,NA,2020-03-22,-36
0,2020-02-16,"Queens County, NY",NA,NA,NA,2020-03-22,-35
